SITE,LATITUDE,LONGITUDE,MPAGroup,site_designation,site_status,MLPA_REGN,YEAR_MPA,year,swathtrans,swath_ANTSOL,swath_ANTXAN,swath_APLCAL,swath_APOCAL,swath_APOPAR,swath_BALNUB,swath_CANSPP,swath_CENCOR,swath_COSCOS,swath_CRAGIG,swath_CRIALB,swath_CRYSTE,swath_DERIMB,swath_EISARBADSUB,swath_HALCOR,swath_HALKAM,swath_HALRUF,swath_HALWAL,swath_KELKEL,swath_LAMFAR,swath_LAMSETADSUB,swath_LEPCHI,swath_LOXGRA,swath_LOXSCY,swath_LYTPIC,swath_MACSTIPES,swath_MEDAEQ,swath_MEGCRE,swath_MEGUND,swath_MESFRAAD,swath_METSPP,swath_MURCAL,swath_MURFRU,swath_NEOSPA,swath_NERLUE,swath_ORTKOE,swath_PACFIM,swath_PANINT,swath_PATMIN,swath_PISBRE,swath_PISGIG,swath_PISOCH,swath_POMGIB,swath_PTECALADSUB,swath_PUGFOL,swath_PUGPRO,swath_PUGRIC,swath_PYCHEL,swath_STEOSMAD,swath_STRPURAD,swath_STYMON,swath_TETCAL,swath_URTPIS,swath_URTSPP,swath_LAMSPP,swath_EISARBAD,swath_EUGRUB,swath_HENLEV,swath_LAMSETAD,swath_LINCOL,swath_OCTOPUS,swath_PTECALAD,swath_TEGREG,swath_URTCOR,swath_URTCRA,swath_URTMCP,swath_URTCOLMCP,swath_CERFOL,swath_CUCMIN,swath_PLEGAR,swath_STYCAL,swath_MESFRAREC,swath_STRPURREC,swath_TEST
ANACAPA_EAST_FISH_CAMP_CEN,34.0016,-119.3981,Anacapa Island SMR,reference,reference,SCSR,0,2021,4,3.25,0,1.5,0,1,0,0,4.75,0,5,0,0,0,0.5,0.25,0,0,0,1,0.25,0,1.5,0,0,72.5,64.75,0,1.25,180.5,110.75,0,3.25,0.25,3.75,0,0,4.75,1.75,3.5,0,0,0,0,0,0,0,0,0,48.25,570.25,0,0.5,0,0,0,0,2.5,0,0,0,0.25,0,0,0,0,0.5,0,0,0,0,0,0,0,0
ANACAPA_EAST_FISH_CAMP_E,34.0045,-119.3858,Anacapa Island SMR,reference,reference,SCSR,0,2007,4,12,0,8,0,19.75,0,0,19.5,0,4,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0.75,0,0,6,31,326.75,0,0.25,0.25,1,0,0,0.5,0,23.25,0,1,0,0,0,0,0,0,0,0,2691.5,0,0.75,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANACAPA_EAST_FISH_CAMP_E,34.0045,-119.3858,Anacapa Island SMR,reference,reference,SCSR,0,2008,4,1,0,10.25,0,16,0,0,23.5,0,1.25,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,27.75,0,0,13.75,15.25,739.25,0,0,0,2.25,0,0,6.25,0,22.5,0,1.25,0,0,0,0,0,0,0,0,2438.75,0,1,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANACAPA_EAST_FISH_CAMP_E,34.0045,-119.3858,Anacapa Island SMR,reference,reference,SCSR,0,2009,4,82.5,0,13,0,15,0,0,23.5,0,2.5,0,0,0,4.75,0,0,0,0,7,0,0,0,0,0,2.25,0,0,9.25,8.25,289,0,0,0.25,1.75,0,0,2.75,0,21.25,0,3.25,1.75,0,0,0,0,0,0,0,1945.25,0,1,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANACAPA_EAST_FISH_CAMP_E,34.0045,-119.3858,Anacapa Island SMR,reference,reference,SCSR,0,2021,4,8.25,0,1,0,1,0,0,6.5,0,9.75,0,0,0,4.5,0,0,0,0,1,0,0,0,0,0,3.75,36.5,0,0.25,197.25,151.25,0,1,0,1.25,0,0,5.5,0,2.25,0,0,0,0,0,0,0,0,0,7.25,982.25,0,0.25,0,0,0,1.25,0,0.25,0,0,0,0,1.75,0,0,2.25,0,0,0,0,0,0,0,0
ANACAPA_EAST_FISH_CAMP_W,34.0031,-119.4042,Anacapa Island SMR,reference,reference,SCSR,0,2007,4,68.75,0,0.75,0,32.25,0,0,5.5,0,0,0,0,0,8.25,0,0,0,0,0.25,1.25,0,1.5,0.25,0.75,0,358,0,5.75,13.5,202,0,5.5,1.5,16.5,0,0,1.5,0.25,11.75,0,2.75,0,0,0,0,0,0,0,116,606.5,0,1.25,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANACAPA_EAST_FISH_CAMP_W,34.0031,-119.4042,Anacapa Island SMR,reference,reference,SCSR,0,2008,4,20.75,0,2,0,35.25,0,0,19,0,1.5,0.5,0,0,3.25,0,0,0,0,0,6.5,0,1.5,0,0,13,133,0,8.75,11.5,206.25,0,7.75,0.5,9.75,0,0,18.5,0,11.75,0,6,0,0,0,0,0,0,0,31.75,676.25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANACAPA_EAST_FISH_CAMP_W,34.0031,-119.4042,Anacapa Island SMR,reference,reference,SCSR,0,2009,4,43,0,0.75,0,24,0,0,12.75,0,1.75,0,0,0,18.25,0,0,0,0,0,9.5,0,0.25,0,0.75,2.75,207,0,11.25,2.5,196,0,4.25,1.5,25.25,0,0,2.5,0,18.25,0,5.25,0.25,0,0,0,0,0,0,107.75,641,0,2.25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANACAPA_EAST_FISH_CAMP_W,34.0031,-119.4042,Anacapa Island SMR,reference,reference,SCSR,0,2021,4,9.75,0,0,0,1.75,0,0,25.75,0,2,0,0,0,0.25,0,0,0,0,4.75,0,0,1.75,0,0,13.5,121,0,1.25,291.25,44.75,0,6.25,0.5,18.25,0,0,3.5,0,2.75,0,0,0,0,0,0,0,0,0,131.5,134.75,0,0,0,0,0,0,0.25,0,0,0,0.75,0,0,0,0,1.5,0,0,0,0,0,0,0,0
ANACAPA_EAST_ISLE_CEN,34.0177,-119.3637,Anacapa Island SMR,SMR,MPA,SCSR,1978,1999,3,0,0,0,0,0,0,0,0,0,1.666667,0,0,0,27.33333,0,0,0,0,2,0,0,0,0,0,0,309.3333,0,0,0,130.3333,0,0,0,0,0,0,0,0.666667,0.333333,0,0,0,0,0,0,0,0,0,10.66667,19,0,0,0,0,27.66667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
