SITE,LATITUDE,LONGITUDE,MPAGroup,site_designation,site_status,MLPA_REGN,YEAR_MPA,year,fishtrans,fish_CPUN,fish_GNIG,fish_HRUB,fish_HSEM,fish_OCAL,fish_OYT,fish_SMYS,fish_EJAC,fish_KGB,fish_PCLA,fish_SPUL,fish_BFRE,fish_MCAL,fish_OPIC,fish_PCLAYOY,fish_HROS,fish_RTOX,fish_RVAC,fish_STRE,fish_STREYOY,fish_SATR,fish_CPUNYOY,fish_OCALYOY,fish_SCAR,fish_CPRI,fish_ELAT,fish_SCAU,fish_SCHR,fish_HROSYOY,fish_HCAR,fish_ATHE,fish_SMAR,fish_SPULYOY,fish_PFUR,fish_OYB,fish_SMYSYOY,fish_SDALYOY,fish_SMINYOY,fish_HRUBYOY,fish_BFREYOY,fish_RFYOY,fish_EJACYOY,fish_SPAUYOY,fish_SPAU,fish_AFLA,fish_CAGGYOY,fish_MCALYOY,fish_OELO,fish_HDEC,fish_PNEB,fish_SHOPYOY,fish_SSAXYOY,fish_SSEMYOY,fish_SROSYOY,fish_SMIN,fish_SAUR,fish_SMEL,fish_RNIC,fish_SPINYOY,fish_HCARYOY,fish_ELATYOY,fish_SAURYOY,fish_HDECYOY,fish_PNEBYOY,fish_SENTYOY,fish_SMARYOY,fish_PFURYOY,fish_AOCEYOY,fish_OPICYOY,fish_SNEBYOY,fish_PCALYOY,fish_CVIOYOY,fish_PCOEYOY,fish_SDIPYOY,fish_RVACYOY,fish_RTOXYOY,fish_SRUBYOY,fish_HLAGYOY,fish_HANAYOY,fish_PNOTYOY,fish_EMBIYOY
ANACAPA_EAST_FISH_CAMP_CEN,34.0016,-119.3981,Anacapa Island SMR,reference,reference,SCSR,0,2008,8,1.875,1.375,0.5,0.5,8.375,0,0,0,0,2.25,0.75,0,1.375,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANACAPA_EAST_FISH_CAMP_CEN,34.0016,-119.3981,Anacapa Island SMR,reference,reference,SCSR,0,2009,8,21.25,3.375,0.25,0,18.125,0,0,1.5,0.125,1.5,1.125,0.75,0.625,0.375,0,0.125,0,0,0.125,0,0.5,1.25,10.625,0.125,0,0,0.125,0,0,0,1.25,0,0,0.5,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANACAPA_EAST_FISH_CAMP_CEN,34.0016,-119.3981,Anacapa Island SMR,reference,reference,SCSR,0,2021,8,1.625,0.5,0.625,1,1.5,0,0,0,0,5.375,2.375,0,1.625,0.125,0,0,0,0,0,0,0,0.5,0,0,0.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANACAPA_EAST_FISH_CAMP_CEN,34.0016,-119.3981,Anacapa Island SMR,reference,reference,SCSR,0,2022,8,17,0.625,0.875,0.25,0,0,0,0,0,8,1.75,0.5,2,0,0,0,0,0,0,0,0,3,0,0,0.125,0,0,0,0,0,3.125,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANACAPA_EAST_FISH_CAMP_E,34.0045,-119.3858,Anacapa Island SMR,reference,reference,SCSR,0,2005,8,23.625,1.875,0.625,0.25,9.875,0,0,0.125,0,0.125,0.125,0,0.375,0.125,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANACAPA_EAST_FISH_CAMP_E,34.0045,-119.3858,Anacapa Island SMR,reference,reference,SCSR,0,2006,8,16.125,0.625,0.75,0.25,3.5,0,0,0.5,0,0.25,0,0,0.5,0.5,0,0,0.125,1.25,0,0,0,14.625,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANACAPA_EAST_FISH_CAMP_E,34.0045,-119.3858,Anacapa Island SMR,reference,reference,SCSR,0,2007,8,28.25,0.375,0.875,0,7,0,0,0.125,0.125,0.625,0.25,0,0.625,0.75,0,0,0,0.125,0,0,0.5,0.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANACAPA_EAST_FISH_CAMP_E,34.0045,-119.3858,Anacapa Island SMR,reference,reference,SCSR,0,2008,8,14.375,1.75,0.875,0.125,11.625,0,0,1.375,0.625,0.75,0.75,0,0.25,1,0,0,0,0.125,0,0.125,0,0,0,0,0.125,0,0,0.125,0,0,6.25,0,0,0,0,0.125,0,0.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANACAPA_EAST_FISH_CAMP_E,34.0045,-119.3858,Anacapa Island SMR,reference,reference,SCSR,0,2009,8,27.5,0.75,0.875,0.25,6.375,0,0,0.125,0.25,1.125,1.5,0,0.875,1.25,0,0,0,1.125,0,0,0,12.375,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANACAPA_EAST_FISH_CAMP_E,34.0045,-119.3858,Anacapa Island SMR,reference,reference,SCSR,0,2021,8,3.75,0.75,1.125,0,1.125,0,0,0.375,0,1.5,0.875,2.125,0.625,0.25,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
